snapshot_ts,snapshot_date,id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,selected_by_percent,transfers_in_event,transfers_out_event,transfers_in,transfers_out,status,chance_of_playing_this_round,chance_of_playing_next_round,form,total_points,event_points,minutes,starts,expected_goals,expected_assists,expected_goal_involvements,defensive_contribution,bps,bonus,news
2026-07-27T17:41:44.590079+00:00,2026-07-27,53,Manzambi,2,3,60,0,0,3.1,0,0,0,0,a,,,0.0,0,0,0,0,0.00,0.00,0.00,0,0,0,
2026-07-27T17:41:44.590079+00:00,2026-07-27,54,Gomes,2,3,55,0,0,0.3,0,0,0,0,a,,,0.0,85,0,2207,25,1.15,1.34,2.49,0,421,4,
2026-07-27T17:41:44.590079+00:00,2026-07-27,55,Watkins,2,4,80,0,0,12.4,0,0,0,0,a,,,0.0,167,0,2833,33,15.40,1.18,16.58,0,623,26,
2026-07-27T17:41:44.590079+00:00,2026-07-27,56,Abraham,2,4,55,0,0,0.0,0,0,0,0,i,,0,0.0,23,0,278,2,2.05,0.36,2.41,0,93,2,Shoulder injury - Expected back 23 Aug
2026-07-27T17:41:44.590079+00:00,2026-07-27,160,Garnacho,2,3,60,0,0,1.1,0,0,0,0,a,,,0.0,56,0,1261,14,3.44,3.68,7.12,0,222,3,
2026-07-27T17:41:44.590079+00:00,2026-07-27,57,Petrović,3,1,45,0,0,3.5,0,0,0,0,a,,,0.0,124,0,3420,38,0.00,0.00,0.00,0,512,5,
2026-07-27T17:41:44.590079+00:00,2026-07-27,58,Forster,3,1,40,0,0,3.2,0,0,0,0,a,,,0.0,0,0,0,0,0.00,0.00,0.00,0,0,0,
2026-07-27T17:41:44.590079+00:00,2026-07-27,59,Dennis,3,1,40,0,0,0.2,0,0,0,0,a,,,0.0,0,0,0,0,0.00,0.00,0.00,0,0,0,
2026-07-27T17:41:44.590079+00:00,2026-07-27,60,Hill,3,2,55,0,0,1.4,0,0,0,0,a,,,0.0,110,0,2102,22,0.89,1.16,2.04,0,386,4,
2026-07-27T17:41:44.590079+00:00,2026-07-27,61,Truffert,3,2,55,0,0,4.7,0,0,0,0,a,,,0.0,165,0,3378,38,1.35,3.07,4.42,0,607,19,
2026-07-27T17:41:44.590079+00:00,2026-07-27,62,Diakité,3,2,50,0,0,0.2,0,0,0,0,a,,,0.0,46,0,1275,15,0.02,0.19,0.21,0,164,2,
2026-07-27T17:41:44.590079+00:00,2026-07-27,63,Milosavljević,3,2,50,0,0,0.1,0,0,0,0,a,,,0.0,19,0,367,4,0.15,0.19,0.34,0,63,0,
2026-07-27T17:41:44.590079+00:00,2026-07-27,64,Smith,3,2,45,0,0,0.1,0,0,0,0,a,,,0.0,58,0,1073,14,0.00,0.23,0.23,0,185,4,
2026-07-27T17:41:44.590079+00:00,2026-07-27,65,J.Araujo,3,2,45,0,0,0.1,0,0,0,0,a,,,0.0,0,0,0,0,0.00,0.00,0.00,0,0,0,
2026-07-27T17:41:44.590079+00:00,2026-07-27,66,Soler,3,2,40,0,0,0.6,0,0,0,0,a,,,0.0,3,0,34,0,0.00,0.00,0.00,0,2,0,
2026-07-27T17:41:44.590079+00:00,2026-07-27,67,Rayan,3,3,65,0,0,3.5,0,0,0,0,a,,,0.0,67,0,1110,13,2.67,1.84,4.51,0,238,3,
